words,definition,pos_tag,freq_of_use
strategik,[stra.té.gik]  Definisi :stratégik 1. berdasarkan strategi: letaknya ~ dan hanya dapat dicapai drpd tiga jurusan 2. bp baik elok letaknya.Kamus Dewan Edisi Keempat,-,-
melonjakkan,[me.lon.ja.kan]  Definisi :menjadikan menyebabkan melonjakKamus Dewan Edisi Keempat,-,-
ekonomi,[é.ko.no.mi]  Definisi :ékonomi 1. ilmu bkn pengeluaran pengagihan penggunaan barang-barang dan perkhidmatan: beberapa orang penuntut ~ sedang membantu Kementerian Buruh menyelidiki keadaan pengangguran sekarang ini ahli ~ orang yg pakar dlm bidang ekonomi 2. sistem pengeKamus Dewan Edisi Keempat[é.ko.no.mi]  Definisi :ékonomi 1 ilmu ttg asas-asas pengeluaran pembahagian penggunaan barang-barang dan perkhidmatan serta masalah-masalah kewangan kemasyarakatan dll yg bersangkutan dgnnya. 2 keadaan kekayaan atau kebendaan sesebuah negara dll: Kedudukan ~ negara semakin kukuh. 3 urusan ttg perkara-perkara rumah tangga spt perbelanjaan penggunaan barang-barang. 4 tidak boros hemat. ~ campuran sistem ekonomi yg sebahagian sumbernya dikawal oleh sektor awam dan sebahagian lagi dikawal oleh sektor swasta. ~ terbuka ekonomi yg melibatkan perdagangan sesebuah negara dgn negara yg lain. ~ tertutup ekonomi yg tidak melibatkan perdagangan antarabangsa iaitu tidak wujud aktiviti import dan eksport barangan atau bahan pengeluaran. berekonomi 1 menjalankan sesuatu usaha menurut ilmu ekonomi. 2 bercermat atau berhati-hati dlm menggunakan wang berhemat. mengekonomikan membelanjakan wang dgn hati-hati menghematkan: Utk tujuan ini beliau telah ~ segala perbelanjaan seberapa yg dpt. perekonomian hal-hal atau kegiatan-kegiatan ekonomi.Kamus Pelajar Edisi Kedua,-,-
bagi,[ba.gi]  Definisi :apa-apa yg telah ditentukan untuk: Ayah telah memberikan wang kpd saya ~ membeli buku.Kamus Pelajar Edisi Kedua[ba.gi]  Definisi : membagi menyebabkan seseorang menerima sesuatu memberi. membagikan menyerahkan sesuatu kpd memberikan: Siapa yg ~ wang itu kpd kamuKamus Pelajar Edisi Kedua,-,-
melimpahkan,[me.lim.pah.kan]  Definisi :1. menjadikan melimpah menumpahkan: isi padu air yg dilimpahkan oleh penyumbat itu sama dgn isi padu penyumbat juga ~ air mata 2. mengeluarkan banyak-banyak mencurahkan banyakbanyak: ~ kasih sayang ~ perhatian kpd perkembangan pemakaian bahasa Kebangsaan 3. memberikan banyak-banyak mengurniakan banyak-banyak menghadiahkan banyak-banyak: Tuhan yg ~ rahmat kpd hamba-Nya yg berusaha dan sabarKamus Dewan Edisi Keempat[me.lim.pah.kan]  Definisi :1 menjadikan melimpah menumpahkan. 2 mengeluarkan banyak-banyak mencurahkan: Emaknya selalu ~ air mata. 3 mengurniakan sesuatu dgn banyak: Tuhan telah ~ rezeki kpdnya.Kamus Pelajar Edisi Kedua,-,-
yang,[yang]  Definisi :1. Lin kata penghubung utk menyatakan bahawa kata keterangan berikutnya dipentingkan atau menunjukkan kelainan: rumah ~ besar itu orang ~ sakit itu 2. Lin kata penghubung utk menyatakan bahawa katakata ayat berikutnya ialah penjelasan utk kata-kata sebelumnya: banyak orang ~ ingin bersalam dengannya 3. kata yg digunakan sbg kata penyerta kata yg menentukan kata benda kata sandang: ~ penting bagi kita ialah mengenai dasar ~ kaya sama kaya 4. sl adapun akan: ~ hutang tuan hamba sekati emas itu halallah dunia akhirat 5. bp kata peng-hubung utk menyatakan isi atau huraiankata ayat sebelumnya bahawa: mengertilah cikgu itu ~ pandangan itu bermaksud meminta nasihat Y~ Amat Arif rujukan kehormat utk Ketua Hakim Negara dlm situasi formal spt di mahkamah dsb Y~ Amat Berbahagia rujukan kehormat yg digunakan utk mereka yg bergelar Tun dan Toh Puan Y~ Amat Berhormat rujukan kehormat yg digunakan utk Perdana Menteri Timbalan Perdana Menteri dan Menteri Besar Y~ Amat Mulia rujukan kehormat yg digunakan utk Undang luak di Negeri Sembilan Y~ Arif rujukan kehormat yg digunakan utk Hakim pd situasi yg formal spt di mahkamah dsb Y~ Berbahagia rujukan kehormat yg digunakan utk mereka yg bergelar Tan Sri Puan Sri Datuk Seri Datin Seri Datuk Paduka Datin Paduka Dato Datuk dan Datin yg bukan wakil rakyat Y~ Berhormat rujukan kehormat yg digunakan utk Menteri Timbalan Menteri Yang Dipertua Dewan Negara Yang Dipertua Dewan Rakyat Yang Dipertua Dewan Negeri Ahli Dewan Rakyat Ahli Dewan Negara dan Ahli Dewan Undangan Negeri Y~ Berhormat Mulia rujukan kehormat yg digunakan utk Menteri Timbalan Menteri Yang Dipertua Dewan Negara Yang Dipertua Dewan Rakyat Yang Dipertua Dewan Negeri Ahli Dewan Rakyat Ahli Dewan Negara dan Ahli Dewan Undangan Negeri yg berketurunan raja Y~ Dipertua orang yg dilantik menjadi ketua sesuatu persatuan perkumpulan dll Y~ Dipertua Negeri gelaran utk ketua negeri bagi Melaka Pulau Pinang Sabah dan Sarawak Y~ Dipertuan gelaran utk raja yg memerintah sultan tuanku Y~ di-Pertuan Agong gelaran utk Ketua Negara Malaysia Y~ Maha Kuasa Tuhan Allah Y~ Maha Mulia rujukan kehormat utk sultan atau raja yg memerintah Y~ Mulia rujukan kehormat utk mereka yg bergelar Tengku Raja Syed Engku Ungku dan Datu Y~ Teramat Mulia rujukan kehormat utk keluarga diraja yg terdekat.Kamus Dewan Edisi Keempat[yang]  Definisi : yang-yang dewa beryang-yang membaca mantera memanggil dewa-dewa memuja dewa-dewa: maka tuan puteri pun mengambil gaharu cendana janggi dibakarnya sambil ~ Tuanku Malim Deman pun berangkatlah bersiram di dlm taman itu ~ mengamalkan sekalian ilmu hikmat kayangan tempat kediaman segala dewa keinderaan.Kamus Dewan Edisi Keempat[yang]  Definisi :1 kata utk mengasingkan sesuatu supaya jelas kelainannya: Telur ~ kecil di atas meja itu telur burung. 2 kata utk menentukan sesuatu sbg benda: ~ tinggi itu bangunan Parlimen. 3 kata yg menghubungkan benda dgn penerangnya: Rumah ~ baru dibelinya itu rumah batu. ~ Dipertua orang yg dilantik menjadi ketua sesuatu perkumpulan persatuan dll. ~ Dipertuan gelaran utk raja yg memerintah. ~ Maha Kuasa Tuhan Allah.Kamus Pelajar Edisi Kedua[yang]  Definisi :  yang-yang dewa. beryang-yang memuja dewa-dewa.Kamus Pelajar Edisi Kedua,-,-
dan,-,-,-
kuala,[kua.la]  Definisi :tempat sungai mengalir masuk ke laut atau tasik muara: pelabuhan itu terletak di ~ sungai bandar ~ bandar yg terletak di kuala atau di muara sungai berkuala bermuara: sungai itu ~ di Selat Melaka.Kamus Dewan Edisi Keempat[kua.la]  Definisi :penduduk asli Semenanjung Malaysia drpd suku kaum Melayu-Proto yg tinggal di kuala sungai di persisiran pantai selatan negeri Johor.Kamus Dewan Edisi Keempat[kua.la]  Definisi :tempat sungai bertemu dgn sungai lain atau dgn laut muara. berkuala ada kualanya bermuara: Sungai Perak ~ di Selat Melaka.Kamus Pelajar Edisi Kedua,kata nama,High
lumpur,[lum.pur]  Definisi :tanah berair yg lembut selut ~ katam lumpur yg terdapat di pantai beroleh ~ di tempat yg kering prb beroleh kesusahan dgn tidak disangka-sangka takut akan ~ lari ke duri prb mengelakkan kesusahan yg kecil dapat kesusahan yg besar berlumpur 1. mempunyai lumpur penuh dgn lumpur: di tebing yg ~ ini tumbuh hutan bakau 2. berlumur lumpur kena lumpur: kasutnya ~ melumpuri menyebabkan berlumpur pd: kanak-kanak itu bermain sambil ~ dinding rumah itu perlumpuran tempat yg penuh dgn lumpur.Kamus Dewan Edisi Keempat[lum.pur]  Definisi :tanah lembut dan berair selut. berlumpur penuh dgn lumpur berlumur dgn lumpur: Kasutnya ~ kerana ia berjalan di tempat yg becak.Kamus Pelajar Edisi Kedua,kata nama,High
menteri,[menteri]  Definisi :1. ahli politik drpd parti pemerintah yg mengetuai sesuatu jabatan kerajaan ahli kabinet M~ Besar ketua kerajaan bagi sesebuah negeri yg beraja di Malaysia Ketua M~ ketua kerajaan bagi sesebuah negeri yg tidak beraja di Malaysia Perdana M~ ketua jemaah menteri ketua kabinet 2. sl pegawai tinggi spt penasihat raja dll: maka ialah raja yg mula-mula memperbuat bendahara yg memerintah segala ~ yg di bawah takhta kerajaannya 3.  mantri Id pangkat atau jawatan tertentu ~ cacar tukang cungkil ~ ukur juruukur 4. nama buah catur yg besar nilainya ~ dalam negeri menteri yg mengurus hal-hal dlm negeri ~ luar negeri menteri yg mengurus perhubungan dgn negeri-negeri asing ~ muda timbalan menteri ~ negara Id menteri yg tidak memegang kementerian tetapi diberi tugas yg penting kementerian 1. jabatan kerajaan yg diketuai oleh menteri: K~ Pendidikan 2. bangunan bagi jabatan kerajaan pejabat menteri 3. jawatan menteri.Kamus Dewan Edisi Keempat[menteri]  Definisi :1 ahli pemerintahan yg tertinggi ahli kabinet: ~ Besar ketua kerajaan sesebuah negeri yg beraja di Malaysia Ketua ~ ketua kerajaan sesebuah negeri yg tidak beraja di Malaysia Perdana ~ ketua jemaah menteri ketua kabinet. 2 nama buah catur yg paling berkuasa. kementerian 1 urusan atau jabatan yg dipegang oleh menteri: ~ Kesihatan. 2 pejabat menteri. 3 jawatan menteri.Kamus Pelajar Edisi Kedua,kata nama,High
seri,[se.ri]  Definisi :séri  siri.Kamus Dewan Edisi Keempat[se.ri]  Definisi :1. cahaya semarak: nila gunanya utk menghilangkan warna perang pd kain putih dan menambah ~ pd warna biru 2. ke-muliaan keindahan kemegahan: Rafeah itu ~ segala perempuan di situ ~ balai sl balai penghadapan tempat raja dihadapi rakyat ~ gadus sj kuih pipih dan bulat yg diperbuat drpd tepung gandum ~ gunung kelihatan cantik elok bagus ~ kaya sj makanan drpd telur gula santan dan tepung yg biasanya dimakan dgn roti ~ muka a air cahaya muka b  berseri muka kelihatan bercahaya mukanya kerana kegirang-an dll c sj penganan drpd pulut berlapis dgn seri kaya ~ panggung orang bintang bangsa-wan sandiwara dll berseri 1. bercahaya bersemarak 2. kelihatan cantik berupa mulia megah dll: maka negeri Melaka pun tiada ~ lagi 3.  berseri-seri kelihatan bercahaya mukanya dll kerana kegirangan keriangan dll: dgn wajah yg ~-seri dibukalah surat itu dan dibacanya menyerikan menjadikan berseri menyinarkan menyemarakkan majlis dll: majlis itu diserikan dgn pencak silat pohon rendang yg sedang diserikan oleh bunga yg memerah cerah keserian keadaan yg berseri: ~ pakaian baginda terserlah dgn selendang kuning yg dipakainya penyeri seseorang atau sesuatu yg menyeri-kan: anak-anak itulah yg menjadi ~ rumah tangga mereka.Kamus Dewan Edisi Keempat[se.ri]  Definisi :panggilan utk memuliakan raja orang besar dll: S~ Paduka Baginda Yang di-Pertuan Agong S~ Nara Diraja perserian sl orang besar-besar raja dll yg mendapat gelaran penghormatan Seri Seri Maharaja Seri Nara Diraja dll: maka disuruh jemput orang itu jika ~ orang besar-besar menjemput dia.Kamus Dewan Edisi Keempat[se.ri]  Definisi :séri Id pohon bunga ~ sj tumbuhan pokok dan bunga.Kamus Dewan Edisi Keempat[se.ri]  Definisi : menyeri menghisap madu drpd bunga: laksana kumbang ~ bunga kumbang terbang bunga pun layu sari I.Kamus Dewan Edisi Keempat[se.ri]  Definisi :1 sesuatu yg menyebabkan sesuatu yg lain kelihatan bertambah indah atau cantik cahaya semarak: Nila digunakan utk menambah ~ pd kain putih. 2 sesuatu yg dianggap sbg lambang kemegahan atau kemuliaan: Rafeah itu ~ segala perempuan di situ. ~ gadus kuih yg bulat pipih. ~ gunung keadaan sesuatu yg kelihatan cantik dr jauh. ~ muka a. cahaya muka. b. kuih yg dibuat drpd pulut dan diberi berlapis dgn serikaya dsb. ~ pagi nama sj pokok atau bunganya pokoknya menjalar dan bunganya berbentuk spt trompet Ipomoea spp.. ~ panggung pemain sandiwara atau pelakon bangsawan yg terkenal. berseri 1 kelihatan elok atau indah bercahaya bersemarak. 2  berseri-seri kelihatan cemerlang mukanya kerana kegirangan dll. 3 meriah dan ceria bkn majlis persembahan dsb: Jika dia datang majlis itu akan lebih ~. menyerikan 1 menjadikan berseri bkn wajah suasana dsb: Ia ~ lagi suasana di ruang makan itu dgn hiasan yg indah. 2 menjadikan majlis kehidupan dll meriah dan ceria: Ramai artis akan ~ konsert Ambang Merdeka. Ketibaan orang baru akan ~ lagi kehidupan mereka. penyeri orang atau sesuatu yg menyerikan: Anak gadisnya itulah yg menjadi ~ hidupnya.Kamus Pelajar Edisi Kedua[se.ri]  Definisi : menyeri menghisap madu dr bunga-bungaan bkn kumbang dll.Kamus Pelajar Edisi Kedua[se.ri]  Definisi :yg mulia sbg panggilan atau sbg sebutan utk menghormati raja orang-orang besar dll: ~ Paduka Baginda ~ Nara Diraja.Kamus Pelajar Edisi Kedua,kata nama,High
berkata,[ber.ka.ta]  Definisi :mengeluarkan apa yg terfikir dgn kata-kata mengeluarkan kata-kata bertutur: maka Hanuman pun ~ Ya Tuanku maharesi ... ada Doris ~ benar spt apa yg telah dikatakannya kepadaku ~ dua mengeluarkan perkataan yg berlainan drpd maksud yg sebenarnya ~ siang melihat-lihat ~ malam mendengar-dengar prb Mn kalau hendak membicarakan sesuatu baiklah berhati-hati sudah ~ satu prb tidak berubah drpd yg telah diucapkanKamus Dewan Edisi Keempat[ber.ka.ta]  Definisi :mengeluarkan fikiran pendapat dll dgnKamus Pelajar Edisi Kedua,kata nama,High
kerajaan,[ke.ra.ja.an]  Definisi :1. negeri atau negara yg dikepalai oleh raja: ~ Malaysia ~ Arab Saudi 2. pemerintahan negara: ~ Indonesia berparlimen 3. martabat kedudukan raja: setelah nenda hilang ayahanda Badanul menggantikan nenda di atas ~ 4. tanda-tanda alat kebesaran raja: pakaian ~ payung ~ takhta ~ 5. sifat sbg raja: jika tiada diketahuinya tujuh perkara tiada layak ia naik raja dan tiada sempurna ~nya 6. sl naik takhta menjadi raja: jika ia ~ tiada akan sempurna negeri iniKamus Dewan Edisi Keempat[ke.ra.ja.an]  Definisi :1 negeri atau negara yg mempunyai raja sbg kepala pemerintahannya: ~ Arab Saudi. 2 pemerintahan atau pemerintah sesebuah negara: ~ Thailand. 3 naik takhta menjadi raja: Jika ia ~ tiada akan sempurna negeri ini. ~ campuran pemerintahan yg anggota kabinetnya terdiri drpd berbagai-bagai parti bukan drpd satu parti politik. ~ pusat pemerintahan yg bersifat kebangsaan iaitu seluruhnya bukan kerajaan negeri atau bahagian. ~ tempatan 1 pemerintahan pentadbiran di peringkat daerah spt pekan bandar. 2 sistem kerajaan yg meletakkan pentadbiran hal ehwal kerajaan pd pihak berkuasa setempat mis majlis perbandaran dan majlis daerah.Kamus Pelajar Edisi Kedua,kata nama,High
perencanaan,[pe.ren.ca.na.an]  Definisi :perihal merencanakan perancangan: pelajaran yg menjadi kegemaranku ialah ~ kota namun begitu hasilnya kurang memuaskan dr segi keaktifan dan ~Kamus Dewan Edisi Keempat,kata nama,High
negara,[ne.ga.ra]  Definisi :1 kumpulan masyarakat yg mendiami sesuatu kawasan mempunyai kedaulatan politik dan juga jentera pemerintahan: Kepentingan ~ lebih diutamakan drpd kepentingan perseorangan. 2 sesuatu kawasan yg didiami oleh masyarakat tsb: ~ Malaysia. ~ dunia ketiga negara-negara di Afrika Asia dan Amerika Latin secara berkumpulan yg dianggap masih mundur atau sedang membangun. ~ jiran  ~ tetangga negara yg berdekatan. ~ maju negara kaya yg sebahagian besar ekonominya bergantung pd industri dan penduduknya menikmati taraf hidup yg tinggi. ~ matahari terbit negara Jepun. ~ membangun negara yg sedang giat berusaha meningkatkan taraf hidup ekonomi dsb spt Malaysia. ~ perindustrian negara yg kekuatan dan kemajuan ekonominya berteraskan pelbagai industri. kenegaraan segala yg berkaitan dgn negara. negarawan orang yg mahir benar dgn cara-cara pemerintahan negara orang yg memegang tampuk pemerintahan sesebuah negara ahli negara.Kamus Pelajar Edisi Kedua,kata nama,High
rakyat,[raÖ.yat][ra.yat]  Definisi :1. seluruh penduduk sesebuah negara sbg syarat mendirikan sesuatu pemerintahan: ~ Malaysia terdiri drpd berbagai-bagai kaum dewan ~ dewan yg mewakili suara rakyat dlm sistem pemerintahan demokrasi wakil ~ ahli dewan rakyat 2. anak buah orang-orang sebawahan: setahun sekali penghulu menjamu ~nya 3. orang kebanyakan orang ramai orang biasa: padang permainan utk ~ ia keturunan ~ bukan keturunan raja cerita ~ cerita yg diceritakan utk orang biasa 4. pasukan perang bala tentera: maka baginda pun berangkat diiringi oleh seluruh ~ lengkap dgn senjatanya 5. Ph bp orang asli ~ jelata jembel marhaen murba orang kebanyakan bukan golongan bangsawan merakyat tersebar luas kpd rakyat: budaya ilmu dan tradisi pengajian telah meluas dan ~ lalu dgn itu pecahlah monopoli pujangga istana sbg elit ilmuwan merakyatkan menyebarluaskan ilmu amalan dsb kpd rakyat: ilmu kebudayaan harus dirakyatkan agar ilmu itu tidak menjadi urusan sarjana kaum elit dan golongan cendekiawan semata-mata kerakyatan 1. perihal rakyat 2. demokrasi 3. ark kewarganegaraan: ~ akan diberikan kpd orang dagang di negeri ini.Kamus Dewan Edisi Keempat[raÖ.yat][ra.yat]  Definisi :1 seluruh penduduk sesebuah negara: ~ Malaysia. 2 orang kebanyakan orang biasa: balai ~. 3 pasukan perang bala tentera: Baginda berangkat diiringi seluruh ~ lengkap dgn senjatanya. ~ jelata rakyat biasa. merakyatkan menyebarkan sesuatu ilmu amalan baik dsb secara meluas kpd seluruh rakyat: Usaha dijalankan utk ~ ilmu kebudayaan dan tatasusila. kerakyatan 1 segala sesuatu mengenai rakyat. 2 kewarganegaraan.Kamus Pelajar Edisi Kedua,kata nama,High
telah,[te.lah]  Definisi :kata bantu yg menyatakan sesuatu perbuatan sudah berlaku atau sudah berlangsung: Apabila mereka sampai di situ pertandingan itu ~ tamat. setelah sesudah selepas sehabis: ~ makan tengah hari kami pun meneruskan perjalanan kami.Kamus Pelajar Edisi Kedua[te.lah]  Definisi : menelah menyatakan apa-apa yg akan berlaku meramalkan: Dia tidak dpt ~ apa-apa yg akan terjadi kpd dirinya. telahan sesuatu yg ditelah dugaan: ~nya meleset belaka. penelah orang yg menelah tukang ramal.Kamus Pelajar Edisi Kedua,kata tugas,Moderate
untuk,[un.tu]  Definisi :1. ditentukan disediakan bagi merupa-kan bahagian seseorang dll: tanah getah yg lima ekar ini ~mu dan tanah sawah yg dua ekar itu ~ adikmu 2. guna bagi buat: wang ~ membeli makanan ruang ~ bekerja 3. digunakan dipakai sebagai dijadikan supaya menjadi atau dijadikan: ditumbuknya kulit kayu itu halus-halus ~ ubat dibawanya buluh rencong ~ senjata 4. bermaksud hendak: saya terlalu takut ~ lari 5. diberikan dihantar kepada: beliau telah mengirim wang RM50.00 ~ ayahnya 6. melakukan mengerjakan sesuatu supaya supaya dapat: ~ melihat dgn jelas penyimpangan dr segi bentuk ini di bawah ini diturunkan dua rangkap permulaan Syair Sinyor Kosta ~ memahami keadaan yg berlaku sekarang ini perlu dikaji perkembangan-perkem-bangan sebelumnya beruntuk 1. sudah menerima bahagian masing-masing sudah memiliki bahagian masing-masing 2. sudah ditetapkan bahagian masing-masing: pusaka itu belum lagi ~ memperuntukkan menguntukkan menetapkan mencadangkan menyediakan bagi membahagikan atau mengekhaskan bagi sesuatu tujuan keperluan dll: perbelanjaan mengadakan pertandingan itu tahun ini diperuntukkan sebanyak RM60 000 maka kerajaan terpaksa ~ lebih banyak wang utk pertahanan dan keselamatan negara teruntuk 1. sudah ditetapkan sbg bahagian seseorang sesuatu keperluan dll 2. ditetap-kan dikhususkan bagi seseorang peruntukan 1. sesuatu yg telah diuntukkan bahagian atau jumlah wang dll yg ditetapkan ditentukan utk: Dewan Rakyat telah me-luluskan ~ utk membina rumah-rumah pemulihan akhlak 2. syarat atau ketentuan dlm undang-undang dsb: ~ undang-undang utk membataskan poligami.Kamus Dewan Edisi Keempat[un.tu]  Definisi :1 ditentukan atau disediakan bagi dikhaskan bagi: Baju dua helai ini ~ kakakmu. 2 buat guna: tepung ~ membuat kuih. 3 digunakan atau dipakai sbg dijadikan sbg: Dia telah membawa pisau ~ senjata. 4 bermaksud akan hendak: Ia ke bandar ~ membeli kasut. beruntuk sudah mempunyai bahagiannya masing-masing telah ditentukan bahagiannya. menguntukkan menyediakan atau menetapkan bagi: Ayahnya sudah ~ wang tiga ribu ringgit sbg belanja perkahwinannya nanti. peruntukan sesuatu yg diuntukkan bahagian yg disediakan utk sesuatu: ~ sudah dibuat utk membina surau itu.Kamus Pelajar Edisi Kedua,kata tugas,Moderate
kepada,[ke.pa.da]  Definisi :1. kata utk menyatakan arah ke dipakai sebelum nama orang atau kata pengganti diri pada: mengirim surat ~ orang tuanya 2. terhadap akan: jangan berbuat jahat ~ orang 3. daripada pada: baginda memohon Siantan ~ Betara Majapahit ia penolong ~ Pegawai Daerah.Kamus Dewan Edisi Keempat[ke.pa.da]  Definisi :1 kata sendi nama yg menyatakan sasaran seseorang atau sesuatu: Dia mengirim surat ~ orang tuanya yg tinggal di Ipoh. Adik memberikan makanan itu ~ kucingnya. 2 terhadap akan: Tidak baik berbuat jahat ~ orang.Kamus Pelajar Edisi Kedua,kata tugas,Moderate
